obscd,obsnm,sbsncd,mngorg
3009675,대전시(대덕대교),300906,환경부
3009680,대전시(원촌교),300906,환경부
3009693,대전시(신구교),300906,환경부
3009698,대전시(봉산동),300906,환경부
3010620,세종시(노호리),301002,환경부
3010660,세종시(명학리),301002,환경부
3011615,진천군(신정교),301104,환경부
3011617,진천군(금곡교),301106,환경부
3011620,진천군(가산교),301102,환경부
3011623,진천군(인산리),301101,환경부
3011624,진천군(오갑교),301102,환경부
3011625,증평군(반탄교),301107,환경부
3011630,청주시(여암교),301108,환경부
3011635,청주시(팔결교),301109,환경부
3011641,청주시(노동교),301110,환경부
3011643,청주시(용평교),301110,환경부
3011645,청주시(흥덕교),301110,환경부
3011650,천안시(장산교),301112,환경부
3011660,청주시(환희교),301112,환경부
3011665,청주시(미호천교),301115,환경부
3011675,세종시(상조천교),301114,환경부
3011685,세종시(미호교),301115,환경부
3011687,세종시(월암교),301115,환경부
3011695,세종시(월산교),301115,환경부
3012602,세종시(햇무리교),301201,환경부
3012605,세종시(금남교),301201,환경부
3012607,세종시(도암교),301202,환경부
3012608,세종시(세종보하),301202,환경부
3012609,세종시(산봉교),301203,환경부
3012612,공주시(마암리),301204,환경부
3012620,공주시(금강교),301204,환경부
3012625,공주시(오인교),301205,환경부
3012630,공주시(평소리),301206,한국수자원공사
3012633,공주시(공주보상),301205,환경부
3012634,공주시(공주보하),301207,환경부
3012635,공주시(국재교),301206,환경부
3012650,청양군(신흥리),301208,환경부
3012655,청양군(지천교),301209,환경부
3012662,청양군(백제보상),301207,환경부
3012664,부여군(백제보하),301208,환경부
3012665,부여군(지천교),301210,환경부
3012674,부여군(송학교),301212,환경부
3012675,부여군(백제교),301214,환경부
3012680,부여군(석동교),301212,환경부
3012681,논산시(석성천교),301213,환경부
3012685,부여군(반조원리),301214,환경부
3012690,논산시(동성교),301213,환경부
3013605,논산시(인천교),301301,환경부
3013650,탑정,301302,한국농어촌공사
3013665,논산시(풋개다리),301303,환경부
3013670,논산시(논산대교),301305,환경부
3013685,논산시(제내교),301304,환경부
3014610,논산시(황산대교),301401,환경부
3014650,부여군(입포리),301403,환경부
3014670,서천군(옥포리),301403,환경부
3014680,서천군(북원교),301402,환경부
3014690,금강하구둑(내),320309,한국농어촌공사
3014695,금강하구둑(외),300104,한국농어촌공사
3101604,예산군(은사교),310107,환경부
3101613,예산군(서계양교),310107,환경부
3101615,무봉,310107,한국농어촌공사
3101620,대흥,310107,한국농어촌공사
3101625,예산군(예산대교),310108,환경부
3101630,예산군(신례원교),310108,환경부
3101635,홍성군(삽교천교),310101,환경부
3101638,예산군(신리교),310101,환경부
3101640,예산군(충의대교),310102,환경부
3101645,예산군(구만교),310103,환경부
3101650,당진시(구양교),310103,환경부
3101655,천안시(신흥교),310110,환경부
3101660,천안시(가송교),310109,환경부
3101670,아산시(휴대교),310111,환경부
3101672,아산시(덕지리),310112,환경부
3101673,아산시(새터교),310112,환경부
3101675,아산시(한내다리),310112,환경부
3101683,아산시(온천교),310113,환경부
3101685,아산시(충무교),310114,환경부
3101690,아산시(강청교),310114,환경부
3101693,당진시(신촌리),310116,환경부
3201690,당진시(채운교),320102,환경부
3203620,보령시(동대교),320304,환경부
3203640,보령시(보령댐),320305,한국수자원공사
3203645,보령시(보령댐방수로),320306,한국수자원공사
3203652,보령시(노천교),320306,환경부
3203655,대창,330101,한국수자원공사
3301623,완주군(마안교),330103,환경부
3301625,완주군(오성교),330105,환경부
3301630,완주군(용봉교),330105,환경부
3301635,완주군(소양용연교),330104,환경부
3301640,완주군(제2소양교),330104,환경부
3301645,완주군(하리교),330111,환경부
3301652,전주시(신평교),330108,환경부
3301654,전주시(세내교),330108,환경부
3301655,전주시(서곡교),330108,환경부
3301657,전주시(서천교),330109,환경부
3301662,전주시(은석교),330109,환경부
3301665,전주시(미산교),330109,환경부
3301670,완주군(삼례교),330111,환경부
3301675,익산시(인수교),330110,환경부
3301685,익산시(만경교),330111,환경부
3301688,군산시(원두교),330112,환경부
3301690,김제시(만경대교),330303,환경부
3302615,정읍시(행정교),330202,환경부
